id_mpio_postal;zona_postal;codigo_postal;id_mpio
762;514;51410;5658
763;810;81040;8372
764;1920;192020;19364
765;1518;151827;15533
766;2000;200007;20001
767;510;51058;5088
768;1345;134501;13600
769;9110;911039;91798
770;2504;250430;25843
771;7350;735028;73217
772;1950;195047;19290
773;1860;186017;18094
774;7300;730004;73001
775;1538;153801;15600
776;4150;415069;41396
777;8630;863007;86571
778;570;57020;5628
779;1110;111041;11001
780;7300;730019;73001
781;4740;474067;47703
782;6875;687557;68307
783;1116;111621;11001
784;550;55070;5282
785;2325;232529;23189
786;1550;155027;15580
787;538;53810;5206
788;9110;911037;91798
789;1700;170002;17001
790;7050;705078;70670
791;9910;991007;99773
792;7300;730003;73001
793;7600;760026;76001
794;1532;153260;15804
795;5205;520518;52110
796;1920;192048;19137
797;5420;542037;54820
798;5285;528517;52835
799;1520;152047;15820
800;574;57447;5842
801;6800;680002;68001
802;6805;680541;68820
803;500;50015;5001
804;7050;705037;70215
805;5470;547057;54206
806;7020;702018;70717
807;1520;152080;15114
808;1119;111971;11001
809;8620;862080;86569
810;2760;276050;27495
811;5280;528078;52079
812;1119;111941;11001
813;2335;233538;23068
814;1532;153227;15380
815;2310;231038;23417
816;1840;184017;18756
817;7605;760538;76126
818;2526;252657;25599
819;7320;732027;73443
820;2310;231007;23500
821;7615;761540;76400
822;7625;762548;76122
823;2325;232547;23660
824;518;51858;5237
825;6835;683521;68533
826;4400;440008;44001
827;7020;702017;70717
828;6845;684527;68572
829;8610;861088;86885
830;7030;703018;70678
831;1925;192578;19824
832;800;80010;8001
833;6860;686028;68385
834;1512;151247;15248
835;1780;178057;17614
836;4730;473049;47245
837;534;53457;5142
838;7010;701037;70508
839;7610;761038;76616
840;510;51028;5079
841;2536;253610;25402
842;2720;272058;27600
843;9110;911017;91540
844;4430;443048;44078
845;7040;704030;70708
846;1740;174001;17662
847;9400;940008;94001
848;2300;230027;23001
849;5420;542030;54820
850;7610;761028;76828
851;1770;177087;17042
852;6610;661040;66440
853;1538;153840;15808
854;520;52060;5107
855;1920;192057;19137
856;1860;186058;18205
857;1526;152647;15135
858;2760;276077;27025
859;1325;132511;13430
860;5430;543030;54520
861;1522;152247;15362
862;8610;861087;86885
863;538;53817;5206
864;1310;131067;13442
865;2315;231540;23586
