noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
1213;VÍA CALDONO-CAÑADULCE;MPIO. SILVIA Y PIENDAMO;MUNICIPIO SILVIA;MUNICIPIO PIENDAMÓ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19137;19
2435;MUNICIPIO SANTA CRUZ;VÍA TUQUERRES-EL ESPINO;VÍA TUQUERRES-SANTA CRUZ;M. SANTA CRUZ Y SAPUYES;Rural;Sin Informacion de Barrios;Chanorro Alto- Chanorro Bajo-  Manzano Alto-  Manzano Bajo-  San Roque Alto-  Tutachag Alto;52838;52
2257;MPIO. COLOMBIA Y BARAYÁ;MUNICIPIO LA MACARENA;RÍO GUAYABERO Y TIGRE;MPIO. SAN VI. DEL CAGUÁN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;50370;50
2329;M. LA UNIÓN Y SAN PABLO;MPIO. BELÉN Y LA CRUZ;MUNICIPIO LA CRUZ;MUNICIPIO LA UNIÓN;Rural;Sin Informacion de Barrios;Alto Villanueva- Bordo Alto-  Buesaco-  Cujacal-  David Alto-  David Bajo-  El Broncazo-  El Guabo-  El Macal-  El Paraíso-  El Placer-  El Rincón-  Helechal-  La Esperanza-  La Florida-  La Plata-  La Victoria-  Loma de Ganado-  Loma de Ortíz-  Los Plane;52203;52
2027;MUNICIPIO PURACÉ;RÍO MAGDALENA;MUNICIPIO ISNOS;RÍO MAGDALENA Y BLANQUITO;Rural;Sin Informacion de Barrios;AGUA VENDITA- CHONTILLAL;41668;41
1000;LIMITE URBANO;LIMITE URBANO;KR 1F;KR 15;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;17486;17
2652;Q/DA. TRINIDAD Y RÍO (PERMANENTE);MPIO. SAN CALIXTO Y TIBÚ;MUNICIPIO TIBÚ;MUNICIPIO TEORAMA;Rural;Sin Informacion de Barrios;Area Libre- Catatumbo-  El Rosario-  La Angalia-  Mate de Tilo-  Mundo Nuevo-  Rio Santo-  San Antonio-  San Isidro-  San Jose de Las Vegas-  San Marcos-  San Miguelito-  Santa Cruz-  Vegas del Oriente-  Versalles;54250;54
758;LIMITE URBANO;CL 1;KR 2;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15522;15
710;VÍA PAIPA - TUNJA;MUNICIPIO FIRAVITOBA;VÍA PAIPA - EL PARAISO;M. TUTA Y ZOTAQUIRÁ;Rural;Sin Informacion de Barrios;Canocas- Cruz de Murcia-  La Playa-  Rincón de Vargas-  Sativa;15516;15
360;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5004;5
